framework,learning_rate,dropout_rate,optimizer,batch_size,final_train_loss,final_train_acc,final_val_loss,final_val_acc,best_val_acc,best_val_loss
Optuna,0.003091434466756872,0.09759408993314944,SGD,32,1.9086536013285318,0.32204166666666667,1.8409511941274008,0.3481666666666667,0.3481666666666667,1.8409511941274008
Optuna,0.0007426702375654833,0.25490382314312077,Adam,64,1.4426952048142752,0.49733333333333335,1.4678009586731593,0.4845,0.49416666666666664,1.4425484902064005
Optuna,0.0012366304514053396,0.17768645697569424,RMSprop,32,1.3117167921066284,0.5414166666666667,1.275438222726186,0.5556666666666666,0.5556666666666666,1.275438222726186
Optuna,0.001144898784385782,0.22581262290660242,RMSprop,32,1.3435482955773672,0.5347083333333333,1.3148350675106049,0.5408333333333334,0.5408333333333334,1.3148350675106049
Optuna,0.0008930067073142306,0.1927826351407025,Adam,32,1.3617913371721904,0.5254583333333334,1.3646937808990478,0.5226666666666666,0.5226666666666666,1.3646937808990478
Optuna,0.0004512859775982015,0.16565201717983813,RMSprop,32,1.5533126120567322,0.45495833333333335,1.5015084020296732,0.4756666666666667,0.4756666666666667,1.5015084020296732
Hyperopt,0.00173875341250144,0.44196331273630773,Adam,64,1.380968230009079,0.52025,1.3645677027702332,0.5191666666666667,0.5191666666666667,1.3645677027702332
Hyperopt,0.0016462596144793105,0.43046524095671734,SGD,32,2.171184147198995,0.19883333333333333,2.147170896848043,0.21733333333333332,0.21733333333333332,2.147170896848043
Hyperopt,0.00014038543463050265,0.30883042563650154,Adam,32,1.773329647064209,0.378375,1.7472136507034302,0.37966666666666665,0.37966666666666665,1.7472136507034302
Hyperopt,0.0002657261125138509,0.29622670666290374,RMSprop,32,1.663727241675059,0.41825,1.6450905793507893,0.4325,0.4325,1.6450905793507893
Hyperopt,0.00015605916948313548,0.14367815992661692,Adam,64,1.7059527781804402,0.4044583333333333,1.6683527797063191,0.41383333333333333,0.41383333333333333,1.6683527797063191
Hyperopt,0.00020991729298630913,0.22097169917622667,SGD,64,2.298593043645223,0.132,2.297651226679484,0.13333333333333333,0.14833333333333334,2.297651226679484
Hyperopt,0.00986221394901653,0.04087347097607791,SGD,64,1.5369398782253265,0.46391666666666664,1.4868734359741211,0.48183333333333334,0.48183333333333334,1.4868734359741211
Hyperopt,0.004572769019165937,0.3740178864802004,RMSprop,32,1.6891830983161926,0.4078333333333333,1.608842350323995,0.43633333333333335,0.43633333333333335,1.608842350323995
Hyperopt,0.0034894874056019213,0.027038937222091997,Adam,64,1.6050459252993265,0.4397083333333333,1.641262729326884,0.42866666666666664,0.44116666666666665,1.6170870304107665
Hyperopt,0.0009143539332489349,0.21749897682540315,SGD,32,2.215246631940206,0.17608333333333334,2.1995746103922524,0.18866666666666668,0.18866666666666668,2.1995746103922524
Hyperopt,0.0001209262860329415,0.13416237685526877,Adam,32,1.7550445219675699,0.387625,1.735587268193563,0.3943333333333333,0.3943333333333333,1.735587268193563
Hyperopt,0.0016455260799501802,0.05241530852323428,SGD,64,2.1140665826797487,0.22991666666666666,2.097008599281311,0.241,0.241,2.097008599281311
Hyperopt,0.0028845575015493644,0.30455207454415967,RMSprop,32,1.4199944116274517,0.5077083333333333,1.4359215260346732,0.49233333333333335,0.49233333333333335,1.4359215260346732
Hyperopt,0.0008596014347011427,0.04442592403291873,SGD,32,2.2175954303741454,0.17625,2.201777167638143,0.19416666666666665,0.19416666666666665,2.201777167638143
Hyperopt,0.006478333050221687,0.008548344973872246,RMSprop,32,1.6752837901115418,0.4119583333333333,1.6181544580459595,0.41883333333333334,0.41883333333333334,1.6181544580459595
